;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
Ciudad de Madrid;Ciudad de Madrid;3.231,86;2.624,77;3.387,14;100;100;100;100;81,22;104,8;3.365,64;2.913,58;3.473,29;100;100;100;100;86,57;103,2;3.481,61;3.176,50;3.572,02;100;100;100;100;91,24;102,6;3.641,57;3.611,80;3.648,73;100;100;100;100;99,18;100,2;3.900,40;3.548,38;3.966,11;100;100;100;100;90,97;101,68;4.060,37;3.977,34;4.076,59;100;100;100;100;97,96;100,4;4.526,66;4.442,58;4.544,27;100;100;100;100;98,14;100,39
01. Centro;01. Centro;4.809,31;4.521,91;4.817,37;148,81;139,92;149,06;100;94,02;100,17;5.279,93;6.653,36;5.103,94;156,88;228,36;146,95;100;126,01;96,67;5.223,73;5.468,63;5.194,16;150,04;172,16;145,41;100;104,69;99,43;4.935,90;5.906,74;4.903,14;135,54;163,54;134,38;100;119,67;99,34;5.466,32;5.968,17;5.443,39;140,15;168,19;137,25;100;109,18;99,58;5.712,09;5.943,84;5.705,23;140,68;149,44;139,95;100;104,06;99,88;6.268,72;6.092,62;6.279,87;138,48;137,14;138,19;100;97,19;100,18
01. Centro;011. Palacio;4.255,30;5.159,73;4.105,46;131,67;159,65;127,03;100;121,25;96,48;5.075,34;5.281,56;5.044,74;150,8;181,27;145,24;100;104,06;99,4;5.034,49;5.082,76;5.020,78;144,6;160,01;140,56;100;100,96;99,73;4.851,23;5.139,22;4.797,38;133,22;142,29;131,48;100;105,94;98,89;5.410,14;6.166,77;5.298,63;138,71;173,79;133,6;100;113,99;97,94;5.659,44;5.399,32;5.694,12;139,38;135,75;139,68;100;95,4;100,61;6.399,01;6.657,04;6.355,20;141,36;149,85;139,85;100;104,03;99,32
01. Centro;012. Embajadores;4.182,95;0;4.187,39;129,43;0;129,57;100;0;100,11;4.481,49;5.226,91;4.408,11;133,15;179,4;126,91;100;116,63;98,36;4.585,04;5.464,51;4.496,74;131,69;172,03;125,89;100;119,18;98,07;4.300,67;0;4.305,98;118,1;0;118,01;100;0;100,12;4.624,29;3.894,51;4.648,92;118,56;109,75;117,22;100;84,22;100,53;4.825,25;0;4.831,28;118,84;0;118,51;100;0;100,12;5.229,59;5.267,57;5.227,00;115,53;118,57;115,02;100;100,73;99,95
01. Centro;013. Cortes;5.303,59;0;5.303,59;164,1;0;164,1;100;0;100;5.494,30;0;5.494,30;163,25;0;158,19;100;0;100;4.989,95;0;4.989,95;143,32;0;139,7;100;0;100;5.049,77;0;5.049,77;138,67;0;138,4;100;0;100;5.729,37;0;5.729,37;146,89;0;144,46;100;0;100;6.099,39;0;6.099,39;150,22;0;149,62;100;0;100;6.300,68;0;6.282,69;139,19;0;138,26;100;0;99,71
01. Centro;014. Justicia;5.882,35;0;5.882,35;182,01;0;182,01;100;0;100;5.950,71;0;5.943,46;176,81;0;171,12;100;0;99,88;6.229,04;0;6.229,04;178,91;0;174,38;100;0;100;6.166,20;0;6.166,20;169,33;0;169;100;0;100;6.919,11;0;6.919,11;177,39;0;174,46;100;0;100;7.568,22;0;7.568,22;186,39;0;185,65;100;0;100;7.913,82;0;7.913,82;174,83;0;174,15;100;0;100
01. Centro;015. Universidad;5.017,09;0;5.039,18;155,24;0;155,92;100;0;100,44;5.998,24;7.664,88;5.453,38;178,22;263,07;157,01;100;127,79;90,92;5.132,60;5.435,90;5.067,92;147,42;171,13;141,88;100;105,91;98,74;4.977,11;7.145,13;4.848,13;136,67;197,83;132,87;100;143,56;97,41;5.753,05;7.429,03;5.621,09;147,5;209,36;141,73;100;129,13;97,71;5.710,69;8.194,32;5.640,53;140,64;206,03;138,36;100;143,49;98,77;6.301,63;6.615,47;6.276,59;139,21;148,91;138,12;100;104,98;99,6
