E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.8. Distribución del volumen de crédito hipotecario (%) por Distrito y Barrio según Tipo de bien inmueble
;;2018;2019;2020;2021;2022;2023;2024
;;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas
01. Centro;011. Palacio;"24,61";"46,14";"56,49";"86,94";"82,53";"33,22";"85,85"
01. Centro;016. Sol;"35,71";"31,16";"53,16";"52,09";"15,25";"57,01";"58,58"
02. Arganzuela;021. Imperial;"29,42";"93,74";"20,58";"11,97";"96,37";"98,03";"86,43"
02. Arganzuela;022. Acacias;"22,25";"70,23";"90,10";"88,72";"98,53";"93,25";"97,45"
02. Arganzuela;023. Chopera;"95,78";"97,94";"93,17";"98,94";"96,73";"98,10";"92,49"
02. Arganzuela;024. Legazpi;"75,73";"83,80";"96,99";"65,70";"52,59";"96,66";"94,94"
09. Moncloa-Aravaca;091. Casa de Campo;"91,78";"97,54";"93,30";"80,23";"98,08";"97,92";"98,53"
10. Latina;101. Los Cármenes;"94,29";"95,64";"99,75";"98,49";"95,80";"98,98";"92,52"
10. Latina;102. Puerta del Ángel;"86,16";"93,22";"65,74";"96,72";"97,49";"97,04";"96,94"
10. Latina;103. Lucero;"96,25";"97,64";"98,77";"99,23";"99,02";"99,57";"98,25"
10. Latina;104. Aluche;"60,32";"97,24";"97,56";"99,09";"98,17";"99,10";"89,97"
11. Carabanchel;111. Comillas;"95,36";"96,98";"93,69";"97,15";"94,90";"88,17";"75,39"
11. Carabanchel;112. Opañel;"94,74";"61,31";"67,79";"90,62";"93,67";"93,95";"93,36"
11. Carabanchel;113. San Isidro;"83,47";"95,88";"95,83";"91,65";"86,95";"90,91";"65,98"
12. Usera;12. Usera;"91,54";"96,98";"98,24";"97,65";"98,11";"82,88";"80,93"
12. Usera;124. Almendrales;"96,86";"99,01";"98,94";"93,22";"99,84";"52,66";"94,06"
12. Usera;125. Moscardó;"90,14";"95,22";"93,09";"98,81";"96,81";"94,14";"97,00"
12. Usera;127. Pradolongo;"90,48";"87,29";"97,87";"97,77";"94,33";"96,76";"69,89"
13. Puente de Vallecas;136. Numancia;"90,91";"97,20";"96,47";"95,22";"94,00";"98,02";"86,21"
;
;
"Fuente: Colegio de Registradores de la Propiedad, Bienes Muebles y Mercantiles de España"
"Observaciones: Tasa de cobertura:  La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7 de 2024 (compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios.
Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos."
